#;Cliente;Tp.;Parc.;F.Pgto;Vd.;NF;N.Doc;Abertura;Comp.;Venc.;D-;Valor(R$);Total(R$);Saldo(R$);Pgto.
262022;DISTMIX;DP;1/1;BOLETO;263375;33203;33203;13/11/24;13/11/24;27/11/24;407;1.717,00;1.560,07;1.560,07;--
262648;DISTMIX;DP;1/1;BOLETO;264065;33643;33643;17/11/24;17/11/24;01/12/24;403;1.541,53;1.541,53;1.541,53;--
262646;DISTMIX;DP;1/1;BOLETO;264067;33641;33641;17/11/24;17/11/24;01/12/24;403;2.402,98;2.402,98;2.402,98;--
263445;DISTMIX;DP;1/1;BOLETO;264534;34191;34191;20/11/24;20/11/24;05/12/24;399;1.839,06;1.839,06;1.839,06;--
263703;DISTMIX;DP;1/1;BOLETO;265024;34376;34376;21/11/24;21/11/24;14/02/25;328;1.497,30;1.497,30;1.497,30;--
263692;DISTMIX;DP;1/1;BOLETO;265027;34365;34365;21/11/24;21/11/24;14/02/25;328;1.199,65;1.199,65;1.199,65;--
279708;"LEO CHOPP CAMARAGIBE NOVO";DP;1/1;BOLETO;277755;44451;44451;05/02/25;05/02/25;19/02/25;323;1.134,53;1.134,53;1.134,53;--
279700;"LEO CHOPP PRADO";DP;1/1;BOLETO;277763;44447;44447;05/02/25;05/02/25;19/02/25;323;425,70;425,70;425,70;--
281288;"LEO CHOPP AFOGADOS";DP;1/1;BOLETO;279044;45369;45369;12/02/25;12/02/25;26/02/25;316;625,70;576,15;576,15;--
337172;"PADARIA E MERCADINHO SANTO ANTONIO";DP;2/2;BOLETO;323839;76969;76969/2;15/10/25;15/10/25;29/10/25;71;765,63;765,63;765,63;--
354921;"CM RESTAURANTE";DP;1/2;BOLETO;338010;81756;81756/1;27/12/25;27/12/25;03/01/26;5;1.773,75;1.773,75;1.773,75;--
354070;"FORNERIA  DEEP DISH";DP;1/2;BOLETO;337445;81245;81245/1;23/12/25;23/12/25;06/01/26;2;677,43;677,43;677,43;--
355478;"CM RESTAURANTE";DP;1/2;BOLETO;338598;82067;82067/1;30/12/25;30/12/25;06/01/26;2;696,75;696,75;696,75;--
;TOTAL;;;;;;;;;;;16.297,01;16.090,53;16.090,53;
