#;Cliente;Tp.;Parc.;F.Pgto;Vd.;NF;N.Doc;Abertura;Comp.;Venc.;D-;Valor(R$);Total(R$);Saldo(R$);Pgto.
339012;"RESTAURANTE SEU IRAJA";DP;1/1;BOLETO;325202;74168;74168;24/10/25;24/10/25;07/11/25;62;759,03;759,03;759,03;--
340845;"RESTAURANTE SEU IRAJA";DP;1/1;BOLETO;326819;79180;79180;01/11/25;01/11/25;15/11/25;54;3.008,00;3.008,00;3.008,00;--
351988;"BRULEE SHOPPING RECIFE";DP;1/1;BOLETO;335706;80017;80017;16/12/25;16/12/25;31/12/25;8;377,64;377,64;377,64;--
352508;"PITAYA PET";DP;1/1;BOLETO;336079;80312;80312;17/12/25;17/12/25;07/01/26;1;786,68;786,68;786,68;--
354408;"RESTAURANTE MACAU";DP;1/1;BOLETO;337160;81439;81439;24/12/25;24/12/25;07/01/26;1;1.189,76;1.189,76;1.189,76;--
;TOTAL;;;;;;;;;;;6.121,11;6.121,11;6.121,11;
