#;Cliente;Tp.;Parc.;F.Pgto;Vd.;NF;N.Doc;Abertura;Comp.;Venc.;D-;Valor(R$);Total(R$);Saldo(R$);Pgto.
216660;"CAVALCANTI EMPORIOS E FRIOS (CABO)";DP;1/1;BOLETO;226316;6259;6259;20/03/24;20/03/24;30/03/24;649;6.798,30;6.798,30;6.798,30;--
218285;"CAVALCANTI EMPORIOS E FRIOS (CABO)";DP;1/1;BOLETO;227882;6949;6949;02/04/24;02/04/24;12/04/24;636;10.621,95;1.609,74;1.609,74;--
218290;"CAVALCANTI EMPORIOS E FRIOS (CABO)";DP;1/1;BOLETO;227827;6952;6952;02/04/24;02/04/24;12/04/24;636;26.807,46;26.807,46;26.807,46;--
229987;"BELO BOI (CABO)";DP;1/1;BOLETO;237982;12580;12580;12/06/24;12/06/24;20/06/24;567;1.195,07;1.195,07;1.195,07;--
232723;"DANTAS BOUTIQUE DE CARNES ( CANDEIAS )";DP;1/1;BOLETO;240285;13901;13901;28/06/24;28/06/24;06/07/24;551;2.724,28;1.141,56;1.141,56;--
246688;"M DOS ANJOS ALIMENTOS( PONTEZINHA )";DP;2/2;BOLETO;251280;22901;22901/2;04/09/24;04/09/24;18/09/24;477;379,87;379,87;379,87;--
246690;"M DOS ANJOS ALIMENTOS( PONTEZINHA )";DP;2/2;BOLETO;250953;22902;22902/2;04/09/24;04/09/24;18/09/24;477;325,68;325,68;325,68;--
246694;"M DOS ANJOS ALIMENTOS( PONTEZINHA )";DP;2/2;BOLETO;250960;22904;22904/2;04/09/24;04/09/24;18/09/24;477;342,21;342,21;342,21;--
246696;"M DOS ANJOS ALIMENTOS( PONTEZINHA )";DP;2/2;BOLETO;250964;22905;22905/2;04/09/24;04/09/24;18/09/24;477;324,84;324,84;324,84;--
248163;"M DOS ANJOS ALIMENTOS( PONTEZINHA )";DP;1/2;BOLETO;252404;23855;23855/1;11/09/24;11/09/24;18/09/24;477;334,85;334,85;334,85;--
248555;"M DOS ANJOS ALIMENTOS( PONTEZINHA )";DP;1/2;BOLETO;252379;24121;24121/1;13/09/24;13/09/24;20/09/24;475;340,62;340,62;340,62;--
248160;"M DOS ANJOS ALIMENTOS( PONTEZINHA )";DP;2/2;BOLETO;252380;23853;23853/2;11/09/24;11/09/24;25/09/24;470;302,39;302,39;302,39;--
248162;"M DOS ANJOS ALIMENTOS( PONTEZINHA )";DP;2/2;BOLETO;252381;23854;23854/2;11/09/24;11/09/24;25/09/24;470;298,89;298,89;298,89;--
248164;"M DOS ANJOS ALIMENTOS( PONTEZINHA )";DP;2/2;BOLETO;252404;23855;23855/2;11/09/24;11/09/24;25/09/24;470;334,81;334,81;334,81;--
251007;"DELICIAS DO PORTO ( N S O  )";DP;1/1;TRANSFERÊNCIA;254759;3786;3786;25/09/24;25/09/24;26/09/24;469;1.274,17;515,55;515,55;--
248556;"M DOS ANJOS ALIMENTOS( PONTEZINHA )";DP;2/2;BOLETO;252379;24121;24121/2;13/09/24;13/09/24;27/09/24;468;340,61;340,61;340,61;--
248558;"M DOS ANJOS ALIMENTOS( PONTEZINHA )";DP;2/2;BOLETO;252361;24122;24122/2;13/09/24;13/09/24;27/09/24;468;175,23;175,23;175,23;--
253023;"DELICIAS DO PORTO ( N S O  )";DP;1/1;TRANSFERÊNCIA;256429;27116;27116;04/10/24;04/10/24;05/10/24;460;487,70;487,70;487,70;--
253024;"DELICIAS DO PORTO ( N S O  )";DP;1/1;TRANSFERÊNCIA;256440;27117;27117;04/10/24;04/10/24;05/10/24;460;550,74;550,74;550,74;--
255368;"BELO BOI (CABO)";DP;1/1;BOLETO;258232;28633;28633;15/10/24;15/10/24;23/10/24;442;1.275,49;1.275,49;1.275,49;--
255369;"BELO BOI (CABO)";DP;1/1;BOLETO;258261;28634;28634;15/10/24;15/10/24;23/10/24;442;1.661,76;1.661,76;1.661,76;--
255370;"BELO BOI (CABO)";DP;1/1;BOLETO;258334;28635;28635;15/10/24;15/10/24;23/10/24;442;1.177,20;1.177,20;1.177,20;--
255371;"DANTAS BOUTIQUE DE CARNES ( CANDEIAS )";DP;1/1;BOLETO;258262;28636;28636;15/10/24;15/10/24;23/10/24;442;1.488,87;1.488,87;1.488,87;--
255373;"BOI NORDESTINO ( PONTEZINHA )";DP;1/1;BOLETO;258265;28638;28638;15/10/24;15/10/24;23/10/24;442;2.200,34;2.200,34;2.200,34;--
256246;"BELO BOI (CABO)";DP;1/1;BOLETO;258918;29227;29227;18/10/24;18/10/24;26/10/24;439;595,41;595,41;595,41;--
256247;"BELO BOI (CABO)";DP;1/1;BOLETO;258919;29228;29228;18/10/24;18/10/24;26/10/24;439;924,06;924,06;924,06;--
256248;"BOI NORDESTINO ( PONTEZINHA )";DP;1/1;BOLETO;258914;29229;29229;18/10/24;18/10/24;26/10/24;439;526,54;526,54;526,54;--
256249;"BOI NORDESTINO ( PONTEZINHA )";DP;1/1;BOLETO;258917;29230;29230;18/10/24;18/10/24;26/10/24;439;580,81;580,81;580,81;--
256689;"DANTAS BOUTIQUE DE CARNES ( CANDEIAS )";DP;1/1;BOLETO;259416;29520;29520;22/10/24;22/10/24;30/10/24;435;888,03;888,03;888,03;--
256690;"DANTAS BOUTIQUE DE CARNES ( CANDEIAS )";DP;1/1;BOLETO;259419;29521;29521;22/10/24;22/10/24;30/10/24;435;1.060,26;1.060,26;1.060,26;--
256691;"DANTAS BOUTIQUE DE CARNES ( CANDEIAS )";DP;1/1;BOLETO;259421;29522;29522;22/10/24;22/10/24;30/10/24;435;1.103,13;1.103,13;1.103,13;--
275898;"FRIGORIFICO DINHO ( PONTE DOS CARV )";DP;1/1;BOLETO;274782;42217;42217;17/01/25;17/01/25;31/01/25;342;16.462,03;452,72;452,72;--
292526;"LEÃO NOBRE (PIEDADE )";DP;1/2;BOLETO;287965;51728;51728/1;05/04/25;05/04/25;12/04/25;271;2.898,27;2.810,16;2.810,16;--
291960;"LEÃO NOBRE (PIEDADE )";DP;2/2;BOLETO;287572;51411;51411/2;03/04/25;03/04/25;17/04/25;266;2.519,72;2.519,72;2.519,72;--
292337;"LEÃO NOBRE (PIEDADE )";DP;2/2;BOLETO;288020;51619;51619/2;04/04/25;04/04/25;18/04/25;265;1.108,92;1.108,92;1.108,92;--
293849;"LEÃO NOBRE (PIEDADE )";DP;1/2;BOLETO;289207;52454;52454/1;11/04/25;11/04/25;18/04/25;265;1.921,56;1.921,56;1.921,56;--
293850;"LEÃO NOBRE (PIEDADE )";DP;2/2;BOLETO;289207;52454;52454/2;11/04/25;11/04/25;25/04/25;258;1.921,54;1.921,54;1.921,54;--
324672;"ACOUGUE TERRA & MAR ( COHAB ) DIOGO";DP;1/1;BOLETO;314001;10689;10689/2;26/08/25;26/08/25;02/09/25;128;3.800,51;3.800,51;3.800,51;--
329341;"MIX MATEUS  (JABOATAO ) ( NOVO )";DP;1/1;TRANSFERÊNCIA;317626;72456;72456;15/09/25;15/09/25;24/10/25;76;7.332,81;5.799,34;5.799,34;--
332077;"MIX MATEUS ( AREIAS ) ( NOVO )";DP;1/1;TRANSFERÊNCIA;319928;74051;74051;25/09/25;25/09/25;04/11/25;65;7.213,97;7.213,97;7.213,97;--
