#;Cliente;Tp.;Parc.;F.Pgto;Vd.;NF;N.Doc;Abertura;Comp.;Venc.;D-;Valor(R$);Total(R$);Saldo(R$);Pgto.
341858;"MIX MATEUS ( AREIAS ) ( NOVO )";DP;1/1;TRANSFERÊNCIA;327738;79742;79742;05/11/25;05/11/25;14/12/25;25;43.641,96;16.777,63;16.777,63;--
341859;"MIX MATEUS ( CASA CAIADA ) ( NOVO )";DP;1/1;TRANSFERÊNCIA;327742;79743;79743;05/11/25;05/11/25;14/12/25;25;26.402,63;15.846,82;15.846,82;--
352995;"FRIG  ESPERANÇA ( GAIBU / CPF )";DP;1/1;TRANSFERÊNCIA;336626;80582;80582;18/12/25;18/12/25;18/12/25;21;110,93;110,93;110,93;--
346706;"FRIGORIFICO DINHO ( PONTE DOS CARV )";DP;1/1;TRANSFERÊNCIA;331598;76904;76904;25/11/25;25/11/25;25/12/25;14;2.169,60;2.169,60;2.169,60;--
351018;"ITAIPAVA ( MURIBECA )";DP;1/1;TRANSFERÊNCIA;335022;79419;79419;11/12/25;11/12/25;25/12/25;14;1.407,12;1.407,12;1.407,12;--
351019;"ITAIPAVA ( MURIBECA )";DP;1/1;TRANSFERÊNCIA;335019;81115;81115;11/12/25;11/12/25;25/12/25;14;552,68;552,68;552,68;--
352783;"ITAIPAVA ( GUABIRABA )";DP;1/1;TRANSFERÊNCIA;336443;81271;81271;18/12/25;18/12/25;30/12/25;9;549,85;549,85;549,85;--
352784;"ITAIPAVA ( GUABIRABA )";DP;1/1;TRANSFERÊNCIA;336436;80466;80466;18/12/25;18/12/25;30/12/25;9;816,28;816,28;816,28;--
355899;"BOX DA IRMA SIMONE ( MERCADÃO )";DP;1/1;TRANSFERÊNCIA;338938;82315;82315;30/12/25;30/12/25;30/12/25;9;1.221,44;99,94;99,94;--
356054;"DELICIAS DO PORTO RESTAURANTE ( NOVO )";DP;1/1;TRANSFERÊNCIA;338974;82417;82417;31/12/25;31/12/25;31/12/25;8;514,12;514,12;514,12;--
345779;"MIX MATEUS ( BOA VIAGEM ) ( NOVO )";DP;1/1;TRANSFERÊNCIA;330379;76367;76367;20/11/25;20/11/25;04/01/26;4;43.982,00;43.646,17;43.646,17;--
355187;"RESTAURANTE DO MANOEL (P. CARVALHOS )";DP;1/1;BOLETO;338291;81910;81910;28/12/25;28/12/25;04/01/26;4;1.353,74;1.353,74;1.353,74;--
355553;"SUPERMERCADO REGIONAL ( PORTO DE GALINHAS )";DP;1/2;BOLETO;338714;82119;82119/1;30/12/25;30/12/25;06/01/26;2;97,37;97,37;97,37;--
354419;"SÃO LUIZ SUPERMERCADO ( AFOGADOS )";DP;1/2;BOLETO;337733;81444;81444/1;24/12/25;24/12/25;07/01/26;1;1.164,39;1.164,39;1.164,39;--
355510;"FRIGORIFICO BOI GORDO ( CABO )";DP;1/1;BOLETO;338685;82093;82093;30/12/25;30/12/25;07/01/26;1;10.010,58;10.010,58;10.010,58;--
355900;"FRIGORIFICO BOI GORDO ( CABO )";DP;1/1;BOLETO;339021;82316;82316;30/12/25;30/12/25;07/01/26;1;5.889,18;5.889,18;5.889,18;--
;TOTAL;;;;;;;;;;;252.504,77;184.642,86;184.642,86;
